session_id,user_id,timestamp_visita,pagina_visitada,tempo_na_pagina_segundos,canal_aquisicao,custo_clique,adicionou_ao_carrinho,comprou,valor_compra
bc8960a9-23b8-41e9-b924-56de3eb13b90,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-07-14 08:25:56,Layout_A,67,CPC,3.2,True,True,183.93
0822e8f3-6c03-4199-972a-846916419f82,e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,2025-07-27 11:23:53,Layout_A,31,Organico,0.0,False,False,0.0
32e70629-8fad-41a6-86cb-0fb39a1de644,3b8faa18-37f8-488b-97fc-695a07a0ca6e,2025-07-25 12:46:53,Layout_A,28,CPC,2.72,False,False,0.0
47378190-96da-4dac-b2ff-5d2a386ecbe0,8b8148f6-b38a-488c-a65e-d389b74d0fb1,2025-07-21 08:46:33,Layout_B,157,Social,0.0,False,False,0.0
571aa876-6c30-4511-b2b9-437a28df6ec4,c241330b-01a9-471f-9e8a-774bcf36d58b,2025-08-09 02:50:50,Layout_A,96,CPC,1.69,False,False,0.0
6142ea7d-17be-4111-9a2a-73ed562b0f79,f50bea63-371e-4d7b-a7cd-813047229389,2025-08-07 01:32:06,Layout_A,187,Organico,0.0,False,False,0.0
bacfb3d0-0b1f-4163-8e9f-f57f43b7a3a6,580d7b71-d8f5-4413-9be6-128e18c26797,2025-07-30 07:23:30,Layout_B,150,Social,0.0,True,False,0.0
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,f91e1d4c-1ff4-4b78-8946-3e85759cde66,2025-07-19 09:01:28,Layout_B,208,Organico,0.0,False,False,0.0
11ce5dd2-b45e-41f0-b139-d32c93cd59bf,dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,2025-07-18 13:20:07,Layout_B,200,CPC,2.69,False,False,0.0
3b982ef8-daf6-4a26-946d-3f31fc377a4c,c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,2025-07-15 01:09:41,Layout_A,163,Social,0.0,False,False,0.0
29a3b2e9-5d65-4441-9588-42dea2bc372f,47294739-614f-43d7-99db-3ad0ddd1dfb2,2025-07-23 00:15:40,Layout_A,209,Organico,0.0,False,False,0.0
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,ab9099a4-35a2-40ae-9af3-05535ec42e08,2025-07-13 23:03:06,Layout_B,51,CPC,1.22,True,True,452.11
7656af72-29d4-4eef-beab-edcbbaa80dd4,2bcfbe01-a28d-4fe3-9bf0-027312476f57,2025-07-26 22:19:05,Layout_A,209,Organico,0.0,False,False,0.0
af42e12f-3838-4326-8e94-4239b02b61c4,ece66fa2-fd51-46e6-851b-4cf36123fdf7,2025-08-01 01:39:13,Layout_A,43,Organico,0.0,False,False,0.0
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,c6a7ee39-c4b0-42cc-97c5-24a55304317f,2025-07-03 17:10:20,Layout_A,220,Organico,0.0,False,False,0.0
e059a0ee-9132-463e-b162-87e4e9c349e0,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2025-07-11 05:48:46,Layout_A,176,Organico,0.0,False,False,0.0
a491f0b2-ea1f-4a65-a27a-984d654821d0,a7cad415-366e-416f-908e-bad7b7c93acf,2025-07-25 05:38:47,Layout_B,249,Organico,0.0,False,False,0.0
434308bc-89fa-4a68-8fb5-d27bbeb79919,23bed01d-43cf-4fde-a493-3b83757750a9,2025-07-12 23:20:30,Layout_A,290,Organico,0.0,False,False,0.0
ff50bde4-3825-47b8-9cab-cc97663f1c97,e5d7b875-6dad-46c7-95a7-6d79bf3c4c06,2025-07-29 07:51:54,Layout_B,219,Organico,0.0,False,False,0.0
1c11f735-dc71-4d96-8c0f-d195c17af08a,7e570ddf-8270-40a8-a369-b584ff5e9ff0,2025-07-05 09:55:01,Layout_A,61,CPC,3.12,False,False,0.0
62801c45-1043-4a10-98ae-43346c12ace8,cac5b68c-28f4-4481-a0a0-4dc427209bdf,2025-08-03 00:49:05,Layout_A,231,CPC,1.81,False,False,0.0
dc5c0eed-8da0-465b-b898-97b9405cacec,77d21e02-ff01-4f99-988c-24c961b1cd22,2025-07-26 16:27:46,Layout_B,298,Social,0.0,False,False,0.0
c0398710-8976-4334-a281-7efdae849217,b88139b9-ae27-4da7-82f0-6b90f143262f,2025-07-06 13:27:44,Layout_A,73,CPC,2.23,False,False,0.0
74273ca3-287d-46ca-af4c-c69a4b22d308,5715bd6f-a416-4293-84c2-e2e3444ea7c8,2025-07-06 09:58:03,Layout_B,189,Organico,0.0,False,False,0.0
c30ff46e-8026-495f-b8cd-a88b436d76e2,e037e5ed-b8db-4672-b42d-47cc00d4af59,2025-08-04 22:29:19,Layout_B,149,Social,0.0,True,True,483.26
81f631d4-a392-41a7-9777-a4774c66e0a8,1b3dbd5c-e9a1-4a6f-81f7-6d1c2dbc2134,2025-07-31 08:31:39,Layout_A,69,Social,0.0,False,False,0.0
c754108f-f418-4f3f-8a14-be62295b4715,5fb8d16c-2720-497d-b2eb-d6899be578c7,2025-08-07 00:23:22,Layout_B,274,CPC,1.17,False,False,0.0
1ca35cfb-04fc-4d82-bd15-438552fbe43b,00257ad1-eb22-43dd-87c5-421eec24a3c5,2025-07-30 01:49:15,Layout_A,286,Social,0.0,False,False,0.0
0ed42f1a-3d4c-4f37-8eb9-3effce88cb2d,fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,2025-08-10 08:57:38,Layout_B,72,Social,0.0,False,False,0.0
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,f26b4776-913e-4de2-a0c5-3cb83da9c2a9,2025-07-04 19:45:31,Layout_B,138,Social,0.0,False,False,0.0
79ac1b1e-a8e5-4e0c-a0de-435d2031d750,885f6e66-c2b6-42c5-ba5d-310011b7e948,2025-08-07 04:15:42,Layout_A,50,Social,0.0,True,False,0.0
f6e07cc0-6c52-449f-9b49-bd26df57c59a,43dac043-2a45-42ab-8cbf-edb0f264accc,2025-07-26 14:47:04,Layout_A,296,Organico,0.0,True,False,0.0
